# Sensor Комендантский проспект, округ Коломяги, Russia (Citizen Science project sensor.community/82410)
# https://aqicn.org/station/@410605/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2024-06-07T00:00:00.000Z,1.35,289.52,2.22,1.8,3.17,41.375,1306
2024-06-08T00:00:00.000Z,0.7,11.93,2,1.65,2.35,0.727,1318
2024-06-09T00:00:00.000Z,1.3,4.5,2.25,1.9,3.03,0.694,1364
2024-06-10T00:00:00.000Z,1.14,284.73,1.7,1.58,1.9,39.361,1300
2024-06-11T00:00:00.000Z,1,514.29,1.98,1.77,2.31,70.425,1309
2024-06-12T00:00:00.000Z,1.1,41.6,2,1.7,2.45,4.073,1273
2024-06-13T00:00:00.000Z,1.17,187.48,1.83,1.6,2.78,30.054,1315
2024-06-14T00:00:00.000Z,0.82,3.17,1.5,1.4,1.7,0.249,1364
2024-06-15T00:00:00.000Z,0.6,50.6,1.4,1.2,2.17,6.527,1089
2024-06-16T00:00:00.000Z,0.9,71.68,2.04,1.7,2.58,8.783,1269
2024-06-17T00:00:00.000Z,0.9,4.55,2.9,1.98,3.35,0.841,1296
2024-06-18T00:00:00.000Z,1.3,69.18,2.83,2,4.17,6.877,1272
2024-06-19T00:00:00.000Z,0.2,2.78,1.8,1.5,1.92,0.445,1326
2024-06-20T00:00:00.000Z,0.7,59.72,1.5,1.3,1.88,6.669,1273
2024-06-21T00:00:00.000Z,0.52,304.27,1.35,1.17,2.22,49.599,1318
2024-06-22T00:00:00.000Z,0.52,206.9,1.37,1.1,1.8,27.752,1260
2024-06-23T00:00:00.000Z,1.27,107.47,2.5,2,3.2,19.772,1285
2024-06-24T00:00:00.000Z,1.65,98.97,2.29,2.15,2.67,11.009,1222
2024-06-25T00:00:00.000Z,1.25,277.33,1.88,1.7,2.16,36.759,1280
2024-06-26T00:00:00.000Z,1.38,445.5,2.13,1.9,2.63,76.481,1314
2024-06-27T00:00:00.000Z,1.02,634.22,2.1,1.8,4.32,139.039,1315
2024-06-28T00:00:00.000Z,1.8,875.58,3.17,2.38,10.72,181.544,1285
2024-06-29T00:00:00.000Z,0.65,161.13,4.5,1.33,6.21,23.231,1224
2024-06-30T00:00:00.000Z,0.95,44.72,1.8,1.5,2.9,4.386,1248
2024-07-01T00:00:00.000Z,0.85,118.97,3.4,2.7,5.47,16.215,1255
2024-07-02T00:00:00.000Z,0.73,3.05,1.8,1.5,2,0.382,1348
2024-07-03T00:00:00.000Z,0.85,13.8,2,1.65,2.29,1.006,1283
2024-07-04T00:00:00.000Z,1.3,4.84,1.9,1.7,2.35,0.685,1304
2024-07-05T00:00:00.000Z,0.55,4.3,1.9,1.3,2.29,0.593,1310
2024-07-06T00:00:00.000Z,0.52,28,1.25,1.1,1.45,2.636,1271
2024-07-07T00:00:00.000Z,1.12,78.9,1.77,1.52,2.02,11.833,1291
2024-07-08T00:00:00.000Z,0.9,19.1,1.55,1.38,1.88,1.86,1311
2024-07-09T00:00:00.000Z,0.7,401.2,1.4,1.2,1.8,74.206,1315
2024-07-10T00:00:00.000Z,0.8,578.08,1.5,1.35,2.66,132.321,1293
2024-07-11T00:00:00.000Z,1,17.8,1.8,1.58,2.15,1.338,1173
2024-07-12T00:00:00.000Z,1.6,5.9,2.71,2.04,3.2,0.734,1366
2024-07-13T00:00:00.000Z,2.13,162,3.92,3.3,4.78,28.895,1238
2024-07-14T00:00:00.000Z,2.1,5.75,3.35,2.9,3.83,0.7,1342
2024-07-15T00:00:00.000Z,1.2,239.57,1.92,1.7,2.8,50.057,1320
2024-07-16T00:00:00.000Z,1.4,475.6,2.2,1.8,3.2,101.421,1296
2024-07-17T00:00:00.000Z,1.9,5.88,3.72,2.75,4.05,0.784,1195
2024-07-18T00:00:00.000Z,1.6,8.68,3.03,2.58,3.55,1.185,1220
2024-07-19T00:00:00.000Z,1.1,4.13,1.98,1.75,2.4,0.517,1280
2024-07-20T00:00:00.000Z,1.45,4.63,2.88,2.25,3.28,0.629,1274
